train_CrossEntropy(label),train_acc(label),eval_CrossEntropy(label),eval_acc(label)
1.3732925778471128,0.3960674157303371,1.1951592941916498,0.44868301544050865
1.253732155548053,0.455875468164794,1.153705101463602,0.46684831970935514
1.20100046108278,0.4830290262172285,1.1273208589146724,0.4950045413260672
1.1488223603825445,0.5179073033707865,1.1823620690095435,0.46684831970935514
1.0845637821526117,0.5519662921348315,1.1418258102236825,0.48047229791099
0.9988857766662198,0.5919943820224719,1.155926223563455,0.49591280653950953
0.8990978691796685,0.6446629213483146,1.183769443704257,0.4868301544050863
0.7952220230066821,0.6907771535580525,1.2185003956700324,0.48864668483197093
0.7022100836596685,0.7363061797752809,1.3800560361574608,0.47774750227066304
0.5944594099615397,0.778558052434457,1.549967066360321,0.45776566757493187
0.5349685183067,0.7993913857677902,1.5210162709779245,0.4586739327883742
0.4677876873074399,0.8202247191011236,1.712161658353745,0.44141689373297005
0.3878324086662759,0.8540496254681648,1.7615798639233387,0.47229791099000906
0.36107517933745065,0.8623595505617978,1.9929158425569318,0.47229791099000906
0.32901771890508774,0.8746488764044944,2.110725243886312,0.4677565849227975
0.2981110436158178,0.8813202247191011,2.2689317251529397,0.4713896457765668
0.2864693162076817,0.8847144194756554,2.160574125009272,0.46139872842870117
0.2574211508140303,0.8926732209737828,2.319316242306369,0.4677565849227975
0.2459093967020121,0.8951310861423221,2.5896768359895406,0.4659400544959128
0.22498629513381516,0.9056647940074907,2.7932515274276524,0.4550408719346049
